Individual	Sex	Age	Conversion_rate	Diet
AMB_02	F	10.06	0.9994	Lodge
AMB_03	M	7.67	0.9842	Wild_feeding
AMB_04	M	5.4	0.9988	Lodge
AMB_06	M	6.39	0.9847	Wild_feeding
AMB_07	M	6.85	0.984	Wild_feeding
AMB_08	M	7.92	0.9988	Wild_feeding
AMB_09	M	5.16	0.9994	Wild_feeding
AMB_10	M	6.25	0.9837	Wild_feeding
AMB_11	F	14.56	0.9995	Lodge
AMB_12	M	3.98	0.9837	Lodge
AMB_13	M	6.01	0.984	Wild_feeding
AMB_14	M	3.76	0.9989	Lodge
AMB_15	F	9.53	0.9989	Lodge
AMB_16	F	7.84	0.9994	Lodge
AMB_18	M	15.79	0.999	Wild_feeding
AMB_19	M	3.04	0.999	Wild_feeding
AMB_20	M	4.5	0.999	Wild_feeding
AMB_21	F	6.71	0.9995	Wild_feeding
AMB_22	F	5.23	0.9994	Wild_feeding
AMB_23	M	9.79	0.9963	Wild_feeding
AMB_24	M	4.27	0.9987	Lodge
AMB_25	M	6	0.9986	Wild_feeding
AMB_26	M	1.76	0.9987	Lodge
AMB_27	M	5.98	0.9987	Wild_feeding
AMB_28	M	8.29	0.998	Wild_feeding
AMB_29	M	4.8	0.9981	Lodge
AMB_31	M	2.9	0.998	Lodge
AMB_32	M	14.3	0.998	Wild_feeding
AMB_33	F	5.03	0.9988	Lodge
AMB_34	F	6.13	0.9963	Wild_feeding
AMB_35	F	3.96	0.9994	Wild_feeding
AMB_36	M	6.76	0.9978	Wild_feeding
AMB_37	M	6.11	0.9978	Wild_feeding
AMB_39	F	8.1	0.9994	Lodge
AMB_40	F	4.97	0.9995	Lodge
AMB_41	F	3.49	0.9988	Lodge
AMB_43	F	4.69	0.9994	Lodge
AMB_44	M	5.8	0.999	Lodge
AMB_45	F	16.44	0.9995	Lodge
AMB_46	F	4.01	0.9964	Wild_feeding
AMB_47	M	3.64	0.999	Wild_feeding
AMB_48	M	10.62	0.9991	Wild_feeding
AMB_49	M	11.86	0.9987	Wild_feeding
AMB_50	M	6.72	0.9988	Lodge
AMB_51	F	4.92	0.9989	Wild_feeding
AMB_52	F	7.54	0.9988	Lodge
AMB_53	M	2.15	0.9843	Lodge
AMB_54	F	4.14	0.9964	Wild_feeding
AMB_55	M	7.43	0.9855	Wild_feeding
AMB_56	M	9.19	0.9955	Wild_feeding
AMB_57	F	5.95	0.9995	Wild_feeding
AMB_58	F	7.73	0.9966	Wild_feeding
AMB_59	M	5.44	0.9988	Wild_feeding
AMB_60	M	6.26	0.999	Wild_feeding
AMB_61	M	2.59	0.9988	Wild_feeding
AMB_63	M	4.5	0.9994	Wild_feeding
AMB_64	M	6.49	0.9977	Wild_feeding
AMB_65	F	9.24	0.9995	Wild_feeding
AMB_66	M	4.72	0.999	Lodge
AMB_68	F	2.92	0.9995	Wild_feeding
AMB_69	M	7.58	0.9987	Wild_feeding
