chromosome	location	beta_diet	se_beta_diet	pvalue	info
chr10	10005237	-0.1101	0.5423	0.809057399	chr10_10005237
chr10	10005257	-0.1223	0.3604	0.716012717	chr10_10005257
chr10	100076	-0.2757	0.6485	0.576506105	chr10_100076
chr10	10027432	0.764	0.6386	0.120028371	chr10_10027432
chr10	10033768	0.08388	0.258	0.736487207	chr10_10033768
chr10	10041621	0.2316	0.4805	0.582592494	chr10_10041621
chr10	10053670	-0.171	0.6238	0.725789608	chr10_10053670
chr10	10053694	-0.2316	0.5525	0.615024556	chr10_10053694
chr10	10053726	0.1396	0.6132	0.773192655	chr10_10053726
chr10	1005389	-0.05148	0.2271	0.815943021	chr10_1005389
chr10	10055672	0.4615	0.2671	0.07297971	chr10_10055672
chr10	10056376	-0.4957	0.4588	0.224000747	chr10_10056376
chr10	10056407	0.1907	0.3866	0.592745614	chr10_10056407
chr10	10056520	0.08601	0.4389	0.827354226	chr10_10056520
chr10	10060859	-0.2471	0.4414	0.532709577	chr10_10060859
chr10	10060956	0.4653	0.6493	0.34606045	chr10_10060956
chr10	10060970	0.4171	0.6923	0.403764303	chr10_10060970
chr10	10064392	0.3232	0.7054	0.518015475	chr10_10064392
chr10	10064430	0.06643	0.6527	0.89313473	chr10_10064430
chr10	10064607	-0.2023	0.7318	0.685017808	chr10_10064607
chr10	10064699	0.1352	0.2077	0.505762317	chr10_10064699
chr10	10064815	0.4869	0.4575	0.23135987	chr10_10064815
chr10	10064865	-0.7526	0.7562	0.12826468	chr10_10064865
chr10	10071924	-0.08085	0.3917	0.822497571	chr10_10071924
chr10	10092075	-0.4596	0.7011	0.357922171	chr10_10092075
chr10	1010255	0.2408	0.3934	0.5055495	chr10_1010255
chr10	1010264	0.342	0.2412	0.144002478	chr10_1010264
chr10	1010275	0.08433	0.3092	0.774273399	chr10_1010275
chr10	1010277	0.2924	0.4567	0.471719991	chr10_1010277
chr10	10103258	-1.078	0.804	0.024143152	chr10_10103258
chr10	1010327	0.1498	0.4468	0.707838912	chr10_1010327
chr10	10103288	-0.7434	0.8143	0.11576168	chr10_10103288
chr10	1010378	0.5791	0.4075	0.119667218	chr10_1010378
chr10	1010382	-0.3229	0.3441	0.317590462	chr10_1010382
chr10	1010387	0.2573	0.7343	0.605722725	chr10_1010387
